Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
Hyundai SantaFe,2022.0,1010,Hà Nội,Ban xe oto cu Hyundai SantaFe 2022 Cao cấp 2.5L HTRAC gia 1 Tỷ 10 Triệu - Hà Nội,50000.0
Kia Morning,2019.0,295,Hà Nội,Ban xe oto cu Kia Morning 2019 Luxury gia 295 Triệu - Hà Nội,45000.0
Toyota Veloz,2024.0,579,Lâm Đồng,Ban xe oto cu Toyota Veloz 2024 Cross Top 1.5 CVT gia 579 Triệu - Lâm Đồng,58000.0
Toyota Fortuner,2016.0,512,Lâm Đồng,Ban xe oto cu Toyota Fortuner 2016 2.5G gia 512 Triệu - Lâm Đồng,124000.0
Hyundai Tucson,2022.0,796,Hà Nội,Ban xe oto cu Hyundai Tucson 2022 2.0 AT CRDi Đặc biệt gia 796 Triệu - Hà Nội,90000.0
Ford Ranger,2023.0,659,TP HCM,Ban xe oto cu Ford Ranger 2023 XLS 2.0L 4x4 AT gia 659 Triệu - TP HCM,35000.0
Hyundai i10,2018.0,279,Hà Nội,Ban xe oto cu Hyundai i10 2018 Grand 1.2 AT gia 279 Triệu - Hà Nội,81000.0
Mazda 3,2018.0,435,Hà Nội,Ban xe oto cu Mazda 3 2018 1.5 AT gia 435 Triệu - Hà Nội,87000.0
Honda Civic,2018.0,520,Hà Nội,Ban xe oto cu Honda Civic 2018 1.5L Vtec Turbo gia 520 Triệu - Hà Nội,77000.0
Ford Ranger,2024.0,630,Hà Nội,Ban xe oto cu Ford Ranger 2024 XLS 2.0L 4x2 AT gia 630 Triệu - Hà Nội,60000.0
VinFast VF5,2025.0,420,Hà Nội,Ban xe oto cu VinFast VF5 2025 Plus gia 420 Triệu - Hà Nội,74000.0
Mitsubishi Outlander,2016.0,450,Hà Nội,Ban xe oto cu Mitsubishi Outlander 2016 2.0 CVT gia 450 Triệu - Hà Nội,94000.0
Hyundai Tucson,2022.0,799,Hà Nội,Ban xe oto cu Hyundai Tucson 2022 2.0 AT CRDi Đặc biệt gia 799 Triệu - Hà Nội,90000.0
Kia Sportage,2022.0,770,Hà Nội,Ban xe oto cu Kia Sportage 2022 Signature X-Line 2.0D gia 770 Triệu - Hà Nội,70000.0
Mazda 3,2014.0,298,Hà Nội,Ban xe oto cu Mazda 3 2014 S 1.6 AT gia 298 Triệu - Hà Nội,120000.0
Toyota Raize,2023.0,470,Hà Nội,Ban xe oto cu Toyota Raize 2023 G 1.0 CVT gia 470 Triệu - Hà Nội,14000.0
Hyundai Tucson,2016.0,555,Hà Nội,Ban xe oto cu Hyundai Tucson 2016 2.0 ATH gia 555 Triệu - Hà Nội,75000.0
Lexus GX,2015.0,2239,Hà Nội,Ban xe oto cu Lexus GX 2015 460 gia 2 Tỷ 239 Triệu - Hà Nội,118000.0
Kia Cerato,2016.0,370,Hà Nội,Ban xe oto cu Kia Cerato 2016 1.6 AT gia 370 Triệu - Hà Nội,120000.0
Hyundai Tucson,2024.0,828,Hà Nội,Ban xe oto cu Hyundai Tucson 2024 2.0 AT Đặc biệt gia 828 Triệu - Hà Nội,25000.0
Toyota Corolla Cross,2021.0,679,Hà Nội,Ban xe oto cu Toyota Corolla Cross 2021 1.8V gia 679 Triệu - Hà Nội,53000.0
Mazda 3,2017.0,375,Hà Nội,Ban xe oto cu Mazda 3 2017 1.5 AT gia 375 Triệu - Hà Nội,0.0
Toyota Vios,2026.0,423,Hà Nội,Ban xe oto Toyota Vios 2026 E CVT gia 423 Triệu - Hà Nội,
Hyundai Accent,2023.0,433,Hà Nội,Ban xe oto cu Hyundai Accent 2023 1.4 AT gia 433 Triệu - Hà Nội,48000.0
Ford Everest,2025.0,1485,TP HCM,Ban xe oto cu Ford Everest 2025 Titanium Plus 2.0L 4x4 AT gia 1 Tỷ 485 Triệu - TP HCM,6800.0
Mercedes Benz GLC,2021.0,1399,TP HCM,Ban xe oto cu Mercedes Benz GLC 2021 300 4Matic gia 1 Tỷ 399 Triệu - TP HCM,
Hyundai Avante,2013.0,225,Hà Nội,Ban xe oto cu Hyundai Avante 2013 2.0 AT gia 225 Triệu - Hà Nội,87000.0
Kia Cerato,2020.0,465,Hải Dương,Ban xe oto cu Kia Cerato 2020 2.0 AT Premium gia 465 Triệu - Hải Dương,91000.0
Hyundai i10,2015.0,255,Thái Bình,Ban xe oto cu Hyundai i10 2015 Grand 1.2 AT gia 255 Triệu - Thái Bình,90000.0
Toyota Innova,2026.0,713,Hà Nội,Ban xe oto Toyota Innova 2026 Cross 2.0G CVT gia 713 Triệu - Hà Nội,
Ford Everest,2024.0,1390,TP HCM,Ban xe oto cu Ford Everest 2024 Titanium Plus 2.0L 4x4 AT gia 1 Tỷ 390 Triệu - TP HCM,12000.0
Ford Everest,2025.0,1545,TP HCM,Ban xe oto Ford Everest 2025 Platinum 2.0L 4x4 AT gia 1 Tỷ 545 Triệu - TP HCM,
BMW X3,2025.0,2049,TP HCM,Ban xe oto cu BMW X3 2025 xDrive20i gia 2 Tỷ 49 Triệu - TP HCM,2600.0
VinFast Lux SA 2.0,2021.0,688,Hà Nội,Ban xe oto cu VinFast Lux SA 2.0 2021 Premium 2.0 AT gia 688 Triệu - Hà Nội,110000.0
